id,County_Code,District_Code,School_Code,Filler,Test_Year,Subgroup_ID,Test_Type,Total_CAASPP_Enrollment,Total_Tested_At_Entity_Level,Total_Tested_at_Subgroup_Level,Grade,Test_Id,CAASPP_Reported_Enrollment,Students_Tested,Mean_Scale_Score,Percentage_Standard_Exceeded,Percentage_Standard_Met,Percentage_Standard_Met_and_Above,Percentage_Standard_Nearly_Met,Percentage_Standard_Not_Met,Students_with_Scores,Area_1_Percentage_Above_Standard,Area_1_Percentage_At_or_Near_Standard,Area_1_Percentage_Below_Standard,Area_2_Percentage_Above_Standard,Area_2_Percentage_At_or_Near_Standard,Area_2_Percentage_Below_Standard,Area_3_Percentage_Above_Standard,Area_3_Percentage_At_or_Near_Standard,Area_3_Percentage_Below_Standard,Area_4_Percentage_Above_Standard,Area_4_Percentage_At_or_Near_Standard,Area_4_Percentage_Below_Standard,Total_Tested_with_Scores,Area_1_Percentage_Near_Standard,Area_2_Percentage_Near_Standard,Area_3_Percentage_Near_Standard,Area_4_Percentage_Near_Standard
sb_ca2019_all_csv_v4.txt,07,61762,0000000,NA,2019,1,B,NA,3314,NA,5,1,569,564,2487.0,15.60,30.85,46.45,21.45,32.09,564,19.50,NA,29.79,21.81,NA,26.60,12.94,NA,24.65,20.57,NA,32.45,3308,50.71,51.60,62.41,46.99
sb_ca2019_all_csv_v4.txt,09,10090,0000000,NA,2019,1,B,NA,412,NA,5,1,20,19,2475.9,21.05,36.84,57.89,5.26,36.84,19,36.84,NA,36.84,26.32,NA,42.11,10.53,NA,31.58,15.79,NA,42.11,412,26.32,31.58,57.89,42.11
sb_ca2019_all_csv_v4.txt,09,61911,0000000,NA,2019,1,B,NA,101,NA,5,1,20,20,2583.6,40.00,50.00,90.00,10.00,0.00,20,50.00,NA,0.00,50.00,NA,0.00,40.00,NA,5.00,50.00,NA,5.00,101,50.00,50.00,55.00,45.00
sb_ca2019_all_csv_v4.txt,09,61929,0000000,NA,2019,1,B,NA,672,NA,5,1,104,102,2465.2,9.80,28.43,38.24,19.61,42.16,102,17.65,NA,35.29,15.69,NA,43.14,10.78,NA,27.45,9.80,NA,31.37,672,47.06,41.18,61.76,58.82
sb_ca2019_all_csv_v4.txt,09,61945,0000000,NA,2019,1,B,NA,180,NA,5,1,33,33,2485.1,6.06,42.42,48.48,21.21,30.30,33,9.09,NA,30.30,9.09,NA,18.18,9.09,NA,21.21,21.21,NA,36.36,180,60.61,72.73,69.70,42.42
sb_ca2019_all_csv_v4.txt,01,61168,0000000,NA,2019,1,B,NA,376,NA,5,1,60,57,2475.8,7.02,31.58,38.60,28.07,33.33,57,17.54,NA,28.07,8.77,NA,36.84,12.28,NA,21.05,10.53,NA,31.58,375,54.39,54.39,66.67,57.89
sb_ca2019_all_csv_v4.txt,01,61176,0000000,NA,2019,1,B,NA,18260,NA,5,1,2648,2612,2575.2,53.91,25.56,79.46,9.69,10.84,2610,54.52,NA,11.15,56.65,NA,9.89,39.96,NA,8.54,53.95,NA,11.03,18251,34.33,33.46,51.49,35.02
sb_ca2019_all_csv_v4.txt,01,61218,0000000,NA,2019,1,B,NA,12,NA,5,1,*,*,*,*,*,*,*,*,*,*,NA,*,*,NA,*,*,NA,*,*,NA,*,12,*,*,*,*
sb_ca2019_all_csv_v4.txt,01,61234,0000000,NA,2019,1,B,NA,2916,NA,5,1,369,367,2504.3,22.68,29.51,52.19,20.49,27.32,366,28.69,NA,25.96,23.77,NA,28.69,20.77,NA,20.49,27.87,NA,24.86,2915,45.36,47.54,58.74,47.27
sb_ca2019_all_csv_v4.txt,01,61309,0000000,NA,2019,1,B,NA,5048,NA,5,1,689,679,2448.4,9.87,18.56,28.42,20.77,50.81,679,11.50,NA,48.67,15.49,NA,39.38,9.29,NA,40.86,13.57,NA,46.61,5044,39.82,45.13,49.85,39.82
